Name,Actual,Discounted,
"Mi 10 (Coral Green, 8GB RAM, 256GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","['About this item\n\n\n\n108MP quad rear camera with OIS, ultra-wide, macro, portrait, night mode, AI scene recognition, HDR, pro mode | 20MP front camera\n\n\n\n16.94 centimeters (6.67-inch) FHD+ AMOLED capacitive multi-touch touchscreen with 2340 x 1080 pixels resolution, 386 ppi pixel density and 19.5:9 aspect ratio | 3D Curved glass\n\n\n\nMemory, Storage & SIM: 8GB RAM | 256GB internal memory | Dual SIM (nano+nano) with support for 5G\n\n\n\nAndroid v10 operating system with 2.84GHz Qualcomm Snapdragon 865 with 7nm octa core processor\n\n\n\n4780mAH lithium-polymer battery with 30W wired fast charger in-box & support for up to 30W wireless charging\n\n\n\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n\n\nBox also includes: Power adapter, USB cable, sim eject tool, warranty card, user guide and clear soft case\n\n\n\n\n›\nSee more product details']",59999,54999
"(Renewed) Mi 10 (Coral Green, 8GB RAM, 256GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","['About this item\n\n\n\nThis Certified Refurbished product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories (Except headphone and case) and is backed by a minimum six month supplier-backed warranty; box may be generic\n\n\n\n108MP quad rear camera with OIS, ultra-wide, macro, portrait, night mode, AI scene recognition, HDR, pro mode | 20MP front camera\n\n\n\n16.94 centimeters (6.67-inch) FHD+ AMOLED capacitive multi-touch touchscreen with 2340 x 1080 pixels resolution, 386 ppi pixel density and 19.5:9 aspect ratio | 3D Curved glass\n\n\n\nMemory, Storage & SIM: 8GB RAM | 256GB internal memory | Dual SIM (nano+nano) with support for 5G\n\n\n\nAndroid v10 operating system with 2.84GHz Qualcomm Snapdragon 865 with 7nm octa core processor\n\n\n\n\n›\nSee more product details']",0,0
"Mi 11X Pro 5G (Cosmic Black, 8GB RAM, 256GB Storage) | Snapdragon 888 | 108MP Camera | Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro | 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ (1080x2400) AMOLED Dot display; 16.9 centimeters (6.67 inch); 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM | 256GB UFS 3.1 storage\n\n\n\n\n›\nSee more product details']",49999,41999
"Mi 11X Pro 5G (Lunar White, 8GB RAM, 256GB Storage) | Snapdragon 888 | 108MP Camera| Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ 1080x2400 AMOLED Dot display; 16.9 centimeters 6.67 inch; 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM 256GB UFS 3.1 storage\n\n\n\nMemory slots available: 32GB\n\n\n\nConnector type: USB Type C\n\n\n\n\n›\nSee more product details']",49999,41999
"MI 11X Pro 5G (Celestial Silver, 8GB RAM, 256GB Storage) | Snapdragon 888 | 108MP Camera | Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro | 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ (1080x2400) AMOLED Dot display; 16.9 centimeters (6.67 inch); 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM | 256GB UFS 3.1 storage\n\n\n\n\n›\nSee more product details']",49999,41999
"Mi 11X Pro 5G (Celestial Silver, 8GB RAM, 128GB Storage) | Snapdragon 888 | 108MP Camera | 6 Month Free Screen Replacement for Prime | Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro | 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ (1080x2400) AMOLED Dot display; 16.9 centimeters (6.67 inch); 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM | 128GB UFS 3.1 storage\n\n\n\n\n›\nSee more product details']",47999,39999
"Mi 11X Pro 5G (Cosmic Black, 8GB RAM, 128GB Storage) | Snapdragon 888 | 108MP Camera | 6 Month Free Screen Replacement for Prime | Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro | 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ (1080x2400) AMOLED Dot display; 16.9 centimeters (6.67 inch); 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM | 128GB UFS 3.1 storage\n\n\n\n\n›\nSee more product details']",47999,39999
"Mi 11X Pro 5G (Lunar White, 8GB RAM, 128GB Storage) | Snapdragon 888 | 108MP Camera | 6 Month Free Screen Replacement for Prime | Additional 5000 Off on Exchange","['About this item\n\n\n\nQualcomm Snapdragon 888 5G with Kryo 680 Octa-core; 5nm process; Up to 2.84GHz clock speed; Liquidcool technology\n\n\n\nCamera: 108 MP Triple Rear camera with 8MP Ultra-wide and 5MP Super macro | 20 MP Front camera\n\n\n\nDisplay: 120Hz high refresh rate FHD+ (1080x2400) AMOLED Dot display; 16.9 centimeters (6.67 inch); 2.76mm ultra tiny punch hole; HDR 10+ support; 360Hz touch sampling, MEMC technology\n\n\n\nBattery: 4520 mAH large battery with 33W fast charger in-box and Type-C connectivity\n\n\n\nMemory, Storage & SIM: 8GB LPDDR5 RAM | 128GB UFS 3.1 storage\n\n\n\n\n›\nSee more product details']",47999,39999
"MI 10T Pro 5G (Cosmic Black, 8GB RAM, 128GB Storage) -|Alexa Hands-Free Capable | Additional Exchange/No Cost EMI Offers","['About this item\n\n\n\n108MP triple rear camera with 13MP ultra-wide and 5MP macro mode, six long exposure modes, photo clones, timed burst, document mode 2. 0, panorama mode, portrait mode | 20 MP front camera\n\n\n\n16.9 centimeters (6.67-inch) FHD+ full screen dot display, FHD+ LCD multi-touch capacitive touchscreen with 2400x1080 pixels resolution, 395 ppi pixel density and 20:9 aspect ratio | 144Hz AdaptiveSync intelligent display\n\n\n\nMemory, Storage & SIM: 8GB RAM | 128GB storage | Dual SIM (nano+nano)\n\n\n\nAndroid v10 operating system with upto 2.84GHz clock speed Qualcomm Snapdragon 865 octa core processor with 7nm process\n\n\n\n5000mAH lithium-polymer large battery providing talk-time of 26 hours and standby time of 535 hours with 33W fast charger in-box and type-C connectivity\n\n\n\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n\n\nBox also includes: Power adapter, USB cable, sim eject tool, warranty card, user guide, clear soft case, screen protector pre-applied on the phone\n\n\n\n\n\n\n\nAlexa Hands-Free capable: Download the Alexa app on  to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, using just your voice, while on-the-go. Just ask and Alexa will respond instantly.\n108MP triple rear camera with 13MP ultra-wide and 5MP macro mode, six long exposure modes, photo clones, timed burst, document mode 2. 0, panorama mode, portrait mode | 20 MP front camera\n16.9 centimeters (6.67-inch) FHD+ full screen dot display, FHD+ LCD multi-touch capacitive touchscreen with 2400x1080 pixels resolution, 395 ppi pixel density and 20:9 aspect ratio | 144Hz AdaptiveSync intelligent display\nMemory, Storage & SIM: 8GB RAM | 128GB storage | Dual SIM (nano+nano)\nAndroid v10 operating system with upto 2.84GHz clock speed Qualcomm Snapdragon 865 octa core processor with 7nm process\n5000mAH lithium-polymer large battery providing talk-time of 26 hours and standby time of 535 hours with 33W fast charger in-box and type-C connectivity\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\nBox also includes: Power adapter, USB cable, sim eject tool, warranty card, user guide, clear soft case, screen protector pre-applied on the phone\nAlexa Hands-Free capable: Download the Alexa app on to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, using just your voice, while on-the-go. Just ask and Alexa will respond instantly.\nConnector type: USB Type C\n\n\nShow More']",47999,36999
"MI 10T Pro 5G (Lunar Silver, 8GB RAM, 128GB Storage) -|Alexa Hands-Free Capable | Additional Exchange/No Cost EMI Offers","['About this item\n\n\n\n108MP triple rear camera with 13MP ultra-wide and 5MP macro mode, six long exposure modes, photo clones, timed burst, document mode 2. 0, panorama mode, portrait mode | 20 MP front camera\n\n\n\n16.9 centimeters (6.67-inch) FHD+ full screen dot display, FHD+ LCD multi-touch capacitive touchscreen with 2400x1080 pixels resolution, 395 ppi pixel density and 20:9 aspect ratio | 144Hz AdaptiveSync intelligent display\n\n\n\nMemory, Storage & SIM: 8GB RAM | 128GB storage | Dual SIM (nano+nano)\n\n\n\nAndroid v10 operating system with upto 2.84 GHz Qualcomm Snapdragon 865 processor\n\n\n\n5000mAH lithium-polymer large battery providing talk-time of 26 hours and standby time of 535 hours with 33W fast charger in-box and type-C connectivity\n\n\n\n1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase\n\n\n\nBox also includes: Power adapter, USB cable, sim eject tool, warranty card, user guide, clear soft case, screen protector pre-applied on the phone\n\n\n\nAlexa Hands-Free capable: Download the Alexa app on  to use Alexa hands-free. Play music, make calls, hear news, open apps, navigate, and more, using just your voice, while on-the-go. Just ask and Alexa will respond instantly.\n\n\n\n\n›\nSee more product details']",47999,36999
