Name,Info,Discounted,Actual
"Samsung Galaxy Z Fold3 5G (Phantom Black, 12GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers","About this item5G Ready powered by Qualcomm Snapdragon 888 Octa-Core processor
 12GB RAM
 256GB internal memory (UFS 3.1) 
 Android operating system and dual SIM (one nano Sim & one e-Sim)Triple Rear Camera Setup - 12MP Ultra Wide Camera: F2.2
 Pixel size: 1.12µm
 FOV: 123˚ + 12MP Wide-angle Camera: F1.8 OIS Dual Pixel AF
 Pixel size: 1.8µm + 12MP Telephoto Camera: F2.4 OIS 2x Zoom
 Pixel size: 1.0µm | Cover Camera - 10MP Selfie Camera: F2.2 FF
 Pixel size: 1.22µm | Front Camera - 4MP Under Display Camera: F1.8 FF
 Pixel size: 2.0µmMain Display - 7.6” (2
208x1
768)
 374ppi
 Dynamic AMOLED 2X Display (22.5:18) Infinity Flex Display
 Adaptive 120Hz | Cover Display - 6.2” (2
268x832)
 387ppi
 Dynamic AMOLED 2X Display (24.5:9) Infinity-O Display
 Switchable 60/120Hz4400mAh dual battery (Non-removable) with Fast Wired & Wireless charging
 Wireless PowerShare & Fingerprint Sensor (side)IPX8 Rated
 Dual Sim (1 Nano Sim + 1 eSim)›See more product details","1,81,699","1,57,999"
"Samsung Galaxy Z Fold3 5G (Phantom Black, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","About this item5G Ready powered by Qualcomm Snapdragon 888 Octa-Core processor
 12GB RAM
 256GB internal memory (UFS 3.1) 
 Android operating system and dual SIM (one nano Sim & one e-Sim)Triple Rear Camera Setup - 12MP Ultra Wide Camera: F2.2
 Pixel size: 1.12µm
 FOV: 123˚ + 12MP Wide-angle Camera: F1.8 OIS Dual Pixel AF
 Pixel size: 1.8µm + 12MP Telephoto Camera: F2.4 OIS 2x Zoom
 Pixel size: 1.0µm | Cover Camera - 10MP Selfie Camera: F2.2 FF
 Pixel size: 1.22µm | Front Camera - 4MP Under Display Camera: F1.8 FF
 Pixel size: 2.0µmMain Display - 7.6” (2
208x1
768)
 374ppi
 Dynamic AMOLED 2X Display (22.5:18) Infinity Flex Display
 Adaptive 120Hz | Cover Display - 6.2” (2
268x832)
 387ppi
 Dynamic AMOLED 2X Display (24.5:9) Infinity-O Display
 Switchable 60/120Hz4400mAh dual battery (Non-removable) with Fast Wired & Wireless charging
 Wireless PowerShare & Fingerprint Sensor (side)IPX8 Rated
 Dual Sim (1 Nano Sim + 1 eSim)›See more product details","1,72,499","1,49,999"
"Samsung Galaxy Z Fold3 5G (Phantom Green, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","About this item5G Ready powered by Qualcomm Snapdragon 888 Octa-Core processor
 12GB RAM
 256GB internal memory (UFS 3.1) 
 Android operating system and dual SIM (one nano Sim & one e-Sim)Triple Rear Camera Setup - 12MP Ultra Wide Camera: F2.2
 Pixel size: 1.12µm
 FOV: 123˚ + 12MP Wide-angle Camera: F1.8 OIS Dual Pixel AF
 Pixel size: 1.8µm + 12MP Telephoto Camera: F2.4 OIS 2x Zoom
 Pixel size: 1.0µm | Cover Camera - 10MP Selfie Camera: F2.2 FF
 Pixel size: 1.22µm | Front Camera - 4MP Under Display Camera: F1.8 FF
 Pixel size: 2.0µmMain Display - 7.6” (2
208x1
768)
 374ppi
 Dynamic AMOLED 2X Display (22.5:18) Infinity Flex Display
 Adaptive 120Hz | Cover Display - 6.2” (2
268x832)
 387ppi
 Dynamic AMOLED 2X Display (24.5:9) Infinity-O Display
 Switchable 60/120Hz4400mAh dual battery (Non-removable) with Fast Wired & Wireless charging
 Wireless PowerShare & Fingerprint Sensor (side)IPX8 Rated
 Dual Sim (1 Nano Sim + 1 eSim)›See more product details","1,72,499","1,49,999"
"Samsung Galaxy S21 Ultra(Phantom Black, 16GB RAM, 512GB Storage) without Offers","About this itemQuad rear camera setup- Main Camera 108MP + Ultra Wide 12MP Dual Pixel Camera + Tele1 3X 10MP Dual Pixel Camera + Tele2 10x 10MP Dual pixel camera | 40MP front faciing camera(6.8-inch) Dynamic AMOLED 2X Display
 WQHD+ resolution with 3200 X 1440 pixels resolution
 515 PPI with 16M colours16GB RAM | 512GB internal Storage
 memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4G)Android Pie v10.0 operating system with 2.9GHz Exynos 2100 octa core processor5000mAH lithium-ion battery
 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase›See more product details","1,38,900","1,23,900"
"Samsung S21 Ultra 5G with Snapdragon 888 (Phantom Black, 16GB RAM, 512GB Storage)","About this itemQuad rear camera setup- Main Camera 108MP + Ultra Wide 12MP Dual Pixel Camera + Tele1 3X 10MP Dual Pixel Camera + Tele2 10x 10MP Dual pixel camera | 40MP front facing camera(6.8-inch) Dynamic AMOLED 2X Display
 WQHD+ resolution with 3200 X 1440 pixels resolution
 515 PPI with 16M colours16GB RAM | 512GB internal Storage | Dual SIM (nano+nano) dual-standby (5G+5G)Android Pie v10.0 operating system with Snapdragon 888 processor5000mAH lithium-ion battery›See more product details","1,29,999","1,23,150"
"Samsung S21 Ultra 5G with Snapdragon 888 (Phantom Black, 12GB RAM, 256GB Storage)","About this itemQuad rear camera setup- Main Camera 108MP + Ultra Wide 12MP Dual Pixel Camera + Tele1 3X 10MP Dual Pixel Camera + Tele2 10x 10MP Dual pixel camera | 40MP front facing camera(6.8-inch) Dynamic AMOLED 2X Display
 WQHD+ resolution with 3200 X 1440 pixels resolution
 515 PPI with 16M colours12GB RAM | 256GB internal Storage | Dual SIM (nano+nano) dual-standby (5G+5G)Android Pie v10.0 operating system with Snapdragon 888 processor5000mAH lithium-ion battery›See more product details","1,28,999","1,13,300"
"Samsung S21 Ultra 5G with Snapdragon 888 (Phantom Silver, 12GB RAM, 256GB Storage)","About this itemQuad rear camera setup- Main Camera 108MP + Ultra Wide 12MP Dual Pixel Camera + Tele1 3X 10MP Dual Pixel Camera + Tele2 10x 10MP Dual pixel camera | 40MP front faciing camera(6.8-inch) Dynamic AMOLED 2X Display
 WQHD+ resolution with 3200 X 1440 pixels resolution
 515 PPI with 16M colours12GB RAM | 256GB internal Storage | Dual SIM (nano+nano) dual-standby (5G+5G)Android Pie v10.0 operating system with Snapdragon 888 processor5000mAH lithium-ion battery›See more product details","1,28,999","1,09,850"
"Samsung Galaxy Z Fold 2 5G with Snapdragon 865+ Single Sim (Mystic Bronze, 12GB RAM, 256 Storage)",,"1,55,000","1,16,990"
"Samsung Galaxy Note 20 Ultra 5G with Snapdragon 865+ (Mystic Bronze, 12GB RAM, 512GB Storage)","About this itemProcessor: Octa Core / 7nm 64-bit / 3.0 GHz
 2.4 GHz
 1.8 GHz / Snapdragon 865+Wireless: Bluetooth: 5.0 / Wi-Fi: IEEE 802.11 a/b/g/n/ac/ax
 2.4 GHz & 5 GHz
 HE80
 MIMO
 1024-QAM / NFCCamera: 108 MP
 12 MP
 12 MP
 Laser AF Sensor / PDAF / OIS / 5x Optical Zoom / Video: 8K recording / Front: 10 MP
 F2.2Display: 6.9"" edge Quad HD+ Dynamic AMOLED 2X Infinity-O Display / Resolution: 3088 x 1440 pixels / 496 ppiSensors: Accelerometer
 Ambient Light sensor
 Barometer
 Geomagnetic sensor
 Gyro sensor
 Hall sensor
 Proximity sensor
 Ultrasonic fingerprint sensor›See more product details","1,28,990","1,09,900"
"Samsung Galaxy Note 20 Ultra 5G with Snapdragon 865+ (Mystic Bronze, 12GB RAM, 256GB Storage)",About this itemGorilla GlassCamera›See more product details,"1,16,000","1,02,990"
